dynamic_accuracy steamvr; 20211013-223229; x y z w i j k;  frequency = 150
3.920321166515350342e-01 -5.524905323982238770e-01 -1.604803562164306641e+00 9.996052499308112349e-01 -1.757942625286289598e-02 -2.161148026088314730e-02 -3.641279895469512647e-03 3.791692554950714111e-01 -5.389971733093261719e-01 -1.353299379348754883e+00 1.860601453443129841e-02 -1.336891838823762481e-02 9.993405773023357197e-01 -2.262554977179562915e-02
3.923108279705047607e-01 -5.525313615798950195e-01 -1.606999516487121582e+00 9.995969913933497875e-01 -1.799704862050049634e-02 -2.166615103631704814e-02 -3.540617177583979883e-03 3.796284794807434082e-01 -5.391263961791992188e-01 -1.355271697044372559e+00 1.869230931889743347e-02 -1.337929462540026274e-02 9.993326942607503316e-01 -2.270950565697547538e-02
3.917136490345001221e-01 -5.525279045104980469e-01 -1.608110427856445312e+00 9.995974013404108627e-01 -1.797588424889129399e-02 -2.165676181857439930e-02 -3.590040540251459526e-03 3.795244097709655762e-01 -5.392737388610839844e-01 -1.356872081756591797e+00 1.863082523264837295e-02 -1.330007696375503506e-02 9.993556878966589618e-01 -2.273501151472779799e-02
3.920502066612243652e-01 -5.526405572891235352e-01 -1.610416889190673828e+00 9.996024175881057516e-01 -1.765500375662003990e-02 -2.169661811089180700e-02 -3.545281112725505099e-03 3.796876370906829834e-01 -5.392134785652160645e-01 -1.358585953712463379e+00 1.874206693037272151e-02 -1.323549652437525440e-02 9.993526614992679358e-01 -2.296806094646126548e-02
3.912687003612518311e-01 -5.526758432388305664e-01 -1.612100601196289062e+00 9.996012324739080857e-01 -1.795029997867444646e-02 -2.150010109949921852e-02 -3.592368710432170421e-03 3.794567584991455078e-01 -5.392838716506958008e-01 -1.359787106513977051e+00 1.860841701549682814e-02 -1.326454297724950944e-02 9.993188090596504258e-01 -2.314788721498442503e-02
3.916607797145843506e-01 -5.527416467666625977e-01 -1.612988352775573730e+00 9.996061070855744024e-01 -1.785737237381494064e-02 -2.134914919188047461e-02 -3.599781998680625858e-03 3.798371851444244385e-01 -5.393598675727844238e-01 -1.361557245254516602e+00 1.853339328561778160e-02 -1.322261048500578476e-02 9.993434945121149049e-01 -2.276965776645416620e-02
3.915869593620300293e-01 -5.525956153869628906e-01 -1.614464759826660156e+00 9.996029020683480093e-01 -1.778995459204051402e-02 -2.150635970364283070e-02 -3.876914192197939823e-03 3.800158798694610596e-01 -5.395284295082092285e-01 -1.363523006439208984e+00 1.847702638717181947e-02 -1.323416712555058709e-02 9.993439865767096419e-01 -2.291248350794664046e-02
3.918628394603729248e-01 -5.527921319007873535e-01 -1.616157174110412598e+00 9.995989665912791144e-01 -1.818018267116416897e-02 -2.134903429970397282e-02 -3.948727829617666198e-03 3.803460001945495605e-01 -5.394752025604248047e-01 -1.364475607872009277e+00 1.854906498899452222e-02 -1.312869521577862512e-02 9.993352444302340265e-01 -2.280271243197612083e-02
3.920071721076965332e-01 -5.528039932250976562e-01 -1.618173837661743164e+00 9.996049145222255516e-01 -1.777011569119234247e-02 -2.140897429625239490e-02 -3.986021572985343382e-03 3.797787129878997803e-01 -5.395900607109069824e-01 -1.367083668708801270e+00 1.858036874066449837e-02 -1.310191477771682420e-02 9.993357555169898321e-01 -2.276822971345703744e-02
3.929507136344909668e-01 -5.525792241096496582e-01 -1.619852662086486816e+00 9.995991156626625740e-01 -1.821639778153273659e-02 -2.130213885234315957e-02 -3.999858721443930870e-03 3.797345757484436035e-01 -5.395705699920654297e-01 -1.368439435958862305e+00 1.879486438528760878e-02 -1.321224023060294829e-02 9.993167295127387550e-01 -2.291788568274985560e-02
3.918489813804626465e-01 -5.528609156608581543e-01 -1.620897650718688965e+00 9.995977740194113004e-01 -1.821064570784378805e-02 -2.137652620742088935e-02 -3.963895448810472559e-03 3.798196911811828613e-01 -5.396521687507629395e-01 -1.370024561882019043e+00 1.871660755869408374e-02 -1.319468486256983840e-02 9.993357979239336775e-01 -2.288488220506421089e-02
3.922938406467437744e-01 -5.526728034019470215e-01 -1.623544096946716309e+00 9.996015827908297791e-01 -1.812653008773537980e-02 -2.125996905907953649e-02 -4.014632733283734697e-03 3.797097504138946533e-01 -5.397723317146301270e-01 -1.371778964996337891e+00 1.875319453682488050e-02 -1.312663029844872951e-02 9.993402736949503762e-01 -2.305276327018739371e-02
3.923079967498779297e-01 -5.527514815330505371e-01 -1.625045776367187500e+00 9.995948820267233081e-01 -1.831381429429223412e-02 -2.139449066917594941e-02 -4.116089517689006973e-03 3.793550133705139160e-01 -5.398415923118591309e-01 -1.373313188552856445e+00 1.873212598165847897e-02 -1.301411628597158240e-02 9.993447117363792875e-01 -2.311903747126910560e-02
3.924413621425628662e-01 -5.527241826057434082e-01 -1.626485586166381836e+00 9.995943900889900924e-01 -1.826419814445465889e-02 -2.145512042663592564e-02 -4.141144736394550621e-03 3.792211711406707764e-01 -5.398781895637512207e-01 -1.374387860298156738e+00 1.872377150596678946e-02 -1.286950902313383806e-02 9.993397711337627110e-01 -2.286876462798279747e-02
3.920359015464782715e-01 -5.527038574218750000e-01 -1.628910064697265625e+00 9.995934509344635011e-01 -1.798091753123997813e-02 -2.175096601404523378e-02 -4.064488588890842989e-03 3.795214891433715820e-01 -5.399376153945922852e-01 -1.375884056091308594e+00 1.862122501289415616e-02 -1.277738526373589298e-02 9.993351079119825453e-01 -2.292403235687059948e-02
3.917289078235626221e-01 -5.526393055915832520e-01 -1.630138754844665527e+00 9.995953366962311293e-01 -1.801766245146691273e-02 -2.161363345415267395e-02 -4.168192130322092778e-03 3.796938061714172363e-01 -5.397810339927673340e-01 -1.377416729927062988e+00 1.861922434407152493e-02 -1.274144373835519976e-02 9.993327956882520624e-01 -2.284506398915141581e-02
3.920019567012786865e-01 -5.527120828628540039e-01 -1.631731390953063965e+00 9.996036325150386981e-01 -1.774489801727347285e-02 -2.143519161197524059e-02 -4.269608417286005486e-03 3.796924948692321777e-01 -5.399054884910583496e-01 -1.378832697868347168e+00 1.846774965730219042e-02 -1.260489674404350127e-02 9.993476315539920884e-01 -2.263916612629766206e-02
3.922984302043914795e-01 -5.527269244194030762e-01 -1.633302450180053711e+00 9.996101617903182524e-01 -1.729375861413636958e-02 -2.148599897470756040e-02 -4.336497229759466582e-03 3.800621330738067627e-01 -5.400177240371704102e-01 -1.380618453025817871e+00 1.856271670436558663e-02 -1.241432854712124813e-02 9.993370669916367133e-01 -2.277648510475466584e-02
